"You will be redirected to Worldpay in a few seconds.","Sie werden an Worldpay weitergeleitet."
"Your payment has been successfully processed by our shop system.","Ihre Zahlung war erfolgreich."
"Please click <a href=""%s"">here</a> if you are not redirected automatically.","Bitte klicken Sie <a href=""%s"">hier</a> wenn Sie nicht automatisch weitergeleitet werden."
"Customer was redirected to Worldpay.","Kunde wurde an Worldpay weitergeleitet."
"preauthorize: Customer returned successfully","Der Betrag wurde bei Worldpay vorautorisiert."
"authorize: Customer returned successfully","Der Betrag wurde bei Worldpay autorisiert und abgebucht."
"Customer was rejected by Worldpay","Kunde wurde von Worldpay abgelehnt"
"Error occurred","Ein Fehler trat auf"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Weiter einkaufen</a>."
"Worldpay Transaction ID: %s","Worldpay Transaction ID: %s"
"AVS status: %s","AVS Status: %s"
"worldpay_cc:You will be redirected to Worldpay website when you place an order.","Sie werden nach der Bestellung für die Eingabe Ihrer Kreditkartendaten an Worldpay weitergeleitet."
"Shopping basket","Warenkorb"
"Payment has not been processed yet.","Die Zahlung wurde noch nicht durchgeführt."
"Authorization","Autorisierung"
"Preauthorization","Vorautorisierung"
"Your purchase at","Ihr Einkauf bei"
"Error during refunding online. Server response: %s","Fehler während der Gutschrift-Erteilung. Server-Antwort: %s"
"Worldpay transaction has been captured.","Worldpay Transaktion wurde abgebucht."
"The order has been canceled.","Der Bestellvorgang wurde abgebrochen."
"Credit Card Type: %s","Kreditkarte: %s"
"Signature Type","Signierungsart"
"Signature parameters","Signatur-Parameter"
"Must be the same as parameters list in Worldpay merchant account, if signature type is static.","Muss die selbe Parameter-Liste wie im Worldpay Händler-Account sein, wenn die Signierungsart statisch ist."
"Hide language select","Sprachauswahl verstecken"
"Activate to hide language menu on WorldPay payment page.","Aktivieren, um Sprachauswahl auf der WorldPay-Zahlungsseite auszublenden."
